model,year,mileage_km,engine_size_l,fuel_type,transmission,body_condition,color,previous_owners,price_million_toman
Kia Cerato,2015,197100.0,2.0,petrol_lpg,manual,minor_paint,white,5,1153.2
Dena,2005,375700.0,1.7,petrol,manual,intact,silver,3,210.2
Peugeot 206,2007,316900.0,1.4,petrol,manual,minor_paint,red,3,145.7
Hyundai Accent,2024,48900.0,1.6,petrol,automatic,minor_paint,white,4,2281.0
Kia Cerato,2026,0.0,2.0,petrol,manual,major_paint,blue,3,1965.5
Kia Cerato,2006,381900.0,2.0,petrol,manual,intact,black,2,808.9
Kia Cerato,2008,357400.0,2.0,petrol_lpg,manual,intact,white,1,1016.2
Quik,2024,3200.0,1.5,petrol,manual,minor_paint,silver,1,406.9
Pride,2014,200600.0,1.3,petrol,MANUAL,accident_repaired,white,3,76.8
Tiba,2008,320600.0,1.5,petrol,manual,major_paint,silver,1,82.4
Toyota Corolla,2024,14700.0,1.8,petrol,manual,accident_repaired,grey,3,1674.5
Kia Cerato,2007,344500.0,2.0,petrol,manual,intact,silver,2,851.0
Toyota Corolla,2006,384600.0,1.8,petrol,automatic,accident_repaired,white,3,769.1
Rana,2022,75100.0,1.6,petrol_lpg,automatic,intact,white,5,566.9
Dena,2014,233000.0,1.7,petrol,manual,intact,grey,4,407.9
Rana,2007,,1.6,petrol,automatic,minor_paint,white,3,210.4
Rana,2005,357100.0,1.6,petrol,manual,intact,blue,5,147.9
Kia Cerato,2010,314200.0,2.0,petrol,MANUAL,minor_paint,white,4,1010.6
Dena,2015,178900.0,1.7,petrol,manual,minor_paint,silver,1,419.0
Toyota Corolla,2006,310900.0,1.8,petrol,AUTOMATIC,major_paint,black,1,947.0
Shahin,2012,270300.0,1.5,petrol,AUTOMATIC,minor_paint,white,5,409.7
Peugeot Pars,2013,228900.0,1.8,petrol,manual,minor_paint,silver,1,283.8
Dena,2006,375900.0,1.7,petrol,manual,intact,black,5,212.8
Peugeot 206,2007,311700.0,1.4,petrol_lpg,manual,minor_paint,white,3,159.1
Rana,2006,379400.0,1.6,petrol_lpg,automatic,intact, silver ,4,175.4
Hyundai Accent,2010,328500.0,1.6,petrol,automatic,minor_paint,silver,4,811.6
Tiba,2013,180600.0,1.5,petrol,automatic,minor_paint,silver,2,171.1
Shahin,2016,,1.5,petrol,manual,intact,white,3,502.0
Peugeot Pars,2014,228400.0,1.8,petrol_lpg,manual,intact,silver,3,247.1
Tiba,2009,293100.0,1.5,petrol,automatic,intact,silver,1,139.2
Dena,2011,283100.0,1.7,petrol,manual,minor_paint,white,1,337.8
Samand,2016,160600.0,1.8,petrol,manual,accident_repaired,silver,2,200.3
Pride,2012,211400.0,1.3,petrol,automatic,intact,silver,1,135.1
Kia Cerato,2019,122300.0,2.0,petrol,manual,major_paint,red,5,1249.3
Samand,2010,297300.0,1.8,petrol,manual,intact,red,2,183.3
Peugeot 206,2015,224200.0,1.4,petrol,manual,intact,grey,1,323.1
Hyundai Accent,2026,30300.0,1.6,petrol,manual,minor_paint,silver,4,2007.9
Kia Cerato,2009,317700000.0,2.0,petrol,manual,accident_repaired,white,5,586.9
Peugeot Pars,2005,386700.0,1.8,petrol,automatic,intact,silver,1,185.5
Rana,2018,150100.0,1.6,petrol,manual,minor_paint,black,5,374.0
Kia Cerato,2024,42600.0,2.0,petrol,manual,intact,silver,4,1971.6
Tiba,2024,59000.0,1.5,petrol_lpg,AUTOMATIC,accident_repaired,white,4,250.2
Shahin,2021,,1.5,petrol,automatic,intact,grey,4,750.8
Tiba,2008,337500.0,1.5,petrol,manual,intact,silver,4,88.8
Shahin,2016,180200.0,1.5,petrol_lpg,manual,minor_paint, red ,5,453.9
Dena,2008,345600.0,1.7,petrol_lpg,automatic,major_paint,white,1,255.4
Dena,2019,117000.0,1.7,petrol,automatic,intact,silver,2,706.6
Shahin,2006,392400.0,1.5,petrol,automatic,minor_paint,grey,1,271.8
Pride,2020,136500.0,1.3,petrol,automatic,intact,white,5,210.0
Toyota Corolla,2015,232900.0,1.8,petrol,automatic,major_paint,silver,3,1320.8
Peugeot Pars,2013,267200.0,1.8,petrol,manual,intact, blue ,4,290.7
Shahin,2026,9100.0,1.5,petrol,manual,intact,black,4,1073.3
Dena,2006,402100.0,1.7,petrol,manual,intact,white,1,223.1
Tiba,2015,208400.0,1.5,petrol,manual,major_paint,grey,4,123.1
Quik,2015,181100.0,1.5,petrol,manual,intact,black,5,240.6
Shahin,2012,245700.0,1.5,petrol,automatic,accident_repaired,blue,1,312.6
Pride,2019,134700.0,1.3,petrol,automatic,intact,black,2,205.7
Peugeot 206,2012,244500.0,1.4,petrol,manual,intact,white,2,285.2
Shahin,2009,311000.0,1.5,petrol_lpg,manual,major_paint,silver,4,202.5
Hyundai Accent,2011,280100.0,1.6,petrol,manual,minor_paint,silver,1,948.0
Samand,2014,241500.0,1.8,petrol,manual,intact,red,1,236.4
Rana,2024,13400.0,1.6,petrol_lpg,manual,accident_repaired,black,4,365.6
Samand,2005,347600.0,1.8,petrol,manual,minor_paint, grey ,1,127.4
Hyundai Accent,2011,297300.0,1.6,petrol,manual,intact,silver,1,1048.0
Samand,2026,40800.0,1.8,petrol,automatic,major_paint,white,4,560.3
Hyundai Accent,2015,172100.0,1.6,petrol,automatic,major_paint,white,4,1034.6
Quik,2021,103800000.0,1.5,petrol_lpg,manual,intact,blue,2,304.4
Dena,2022,29200.0,1.7,petrol_lpg,manual,minor_paint,white,1,745.4
Hyundai Accent,2009,339100.0,1.6,petrol,manual,minor_paint,red,4,716.5
Shahin,2011,270400.0,1.5,petrol,manual,intact, grey ,4,357.2
Kia Cerato,2006,,2.0,petrol_lpg,manual,intact,silver,4,858.7
Dena,2022,121100.0,1.7,petrol,automatic,intact,grey,2,719.7
Dena,2015,,1.7,petrol,manual,major_paint,blue,3,376.5
Quik,2022,104000.0,1.5,petrol,manual,minor_paint,silver,1,294.3
Dena,2011,260400.0,1.7,petrol,MANUAL,intact,silver,1,366.5
Dena,2011,270900.0,1.7,petrol,manual,intact,white,1,355.4
Peugeot 206,2017,170500.0,1.4,petrol_lpg,manual,intact,silver,5,325.5
Tiba,2010,289200.0,1.5,petrol,manual,accident_repaired,white,2,82.7
Dena,2008,294200.0,1.7,petrol,manual,intact,white,1,347.5
Hyundai Accent,2021,99400.0,1.6,petrol,AUTOMATIC,intact,grey,1,2038.3
Peugeot Pars,2019,167400.0,1.8,petrol,manual,major_paint,silver,1,358.6
Toyota Corolla,2025,0.0,1.8,petrol,manual,intact,black,2,3091.9
Tiba,2020,111600.0,1.5,petrol,automatic,intact,white,1,333.2
Quik,2005,388200.0,1.5,petrol,manual,intact,black,3,112.6
Samand,2006,323900.0,1.8,petrol,manual,intact,silver,5,132.9
Rana,2024,34300.0,1.6,petrol_lpg,automatic,accident_repaired,silver,1,446.1
Toyota Corolla,2023,72500.0,1.8,petrol,manual,intact,black,3,2322.9
Pride,2009,322000.0,1.3,petrol,automatic,intact,black,2,93.9
Rana,2011,268400.0,1.6,petrol,manual,minor_paint,black,3,255.2
Tiba,2020,108000.0,1.5,petrol_lpg,manual,intact,white,2,278.8
Pride,2008,337000.0,1.3,petrol,automatic,major_paint,red,4,65.5
Samand,2016,210300.0,1.8,petrol_lpg,manual,intact,white,2,272.2
Samand,2016,236700.0,1.8,petrol_lpg,automatic,minor_paint,silver,4,248.4
Hyundai Accent,2023,101600.0,1.6,petrol,manual,,silver,1,1899.8
Rana,2006,363900.0,1.6,petrol,manual,intact,grey,1,169.2
Hyundai Accent,2011,279100.0,1.6,petrol_lpg,manual,minor_paint,white,2,938.3
Hyundai Accent,2018,173400.0,1.6,petrol,manual,intact,white,3,1328.1
Tiba,2014,243600.0,1.5,petrol,manual,accident_repaired,white,4,97.5
Peugeot 206,2014,264100.0,1.4,petrol,automatic,major_paint,silver,5,202.9
Samand,2026,0.0,1.8,petrol,manual,minor_paint,silver,4,564.5
Tiba,2023,20400.0,1.5,petrol,manual,intact,white,2,404.5
Quik,2009,339300.0,1.5,petrol,automatic,minor_paint,silver,2,156.3
Samand,2023,44900.0,1.8,petrol,manual,minor_paint,black,2,542.6
Shahin,2007,340700.0,1.5,petrol,automatic,intact,black,1,349.4
Tiba,2024,52400.0,1.5,petrol,manual,major_paint,grey,2,257.6
Pride,2013,287000.0,1.3,petrol,automatic,major_paint,silver,4,93.4
Kia Cerato,2010,276300.0,2.0,petrol,AUTOMATIC,minor_paint,silver,2,1065.5
Peugeot 206,2013,250600.0,1.4,petrol,manual,minor_paint,white,5,244.7
Kia Cerato,2017,182700.0,2.0,petrol,manual,intact,grey,4,1301.2
Peugeot 206,2026,31200.0,1.4,petrol,automatic,minor_paint,silver,4,672.9
Dena,2011,323100.0,1.7,petrol_lpg,manual,intact,white,1,347.9
Dena,2009,323500.0,1.7,petrol,MANUAL,minor_paint,silver,5,253.7
Hyundai Accent,2025,36800.0,1.6,petrol,manual,intact,blue,1,2266.5
Hyundai Accent,2021,72900.0,1.6,petrol_lpg,manual,major_paint,grey,2,1249.0
Toyota Corolla,2005,,1.8,petrol,automatic,minor_paint,silver,2,989.0
Rana,2019,128100.0,1.6,petrol_lpg,manual,intact,silver,2,438.5
Tiba,2006,375300.0,1.5,petrol,manual,,blue,4,71.8
Toyota Corolla,2011,317300.0,1.8,petrol,automatic,intact,black,4,1259.8
Tiba,2026,0.0,1.5,petrol,automatic,intact,silver,1,507.4
Shahin,2015,137400.0,1.5,petrol,manual,intact,silver,2,612.3
Shahin,2011,269400.0,1.5,petrol_lpg,automatic,intact,silver,3,404.5
Hyundai Accent,2026,0.0,1.6,petrol,manual,intact,silver,5,2147.6
Tiba,2011,,1.5,petrol,manual,major_paint,silver,2,114.1
Hyundai Accent,2015,211300.0,1.6,petrol,automatic,intact,white,2,1367.3
Peugeot 206,2019,131000.0,1.4,petrol,automatic,minor_paint,black,4,450.0
Kia Cerato,2012,,2.0,petrol,automatic,intact,silver,3,1257.2
Peugeot Pars,2020,83400.0,1.8,petrol,manual,minor_paint,white,5,425.8
Samand,2011,275600000.0,1.8,petrol,manual,intact,white,4,211.2
Tiba,2011,250500.0,1.5,petrol,automatic,intact,silver,3,159.0
Peugeot Pars,2009,297000.0,1.8,petrol,manual,intact,white,3,256.0
Tiba,2015,202800.0,1.5,petrol,manual,intact,black,5,161.2
Kia Cerato,2024,28800.0,2.0,petrol_lpg,manual,intact,red,1,2175.3
Peugeot Pars,2023,75000.0,1.8,petrol,manual,intact,black,4,593.5
Shahin,2011,,1.5,petrol,manual,intact,silver,5,370.2
Peugeot Pars,2016,218700.0,1.8,petrol,manual,intact,silver,2,369.7
Rana,2022,36900.0,1.6,petrol,manual,minor_paint,blue,3,487.2
Kia Cerato,2009,326900.0,2.0,petrol,automatic,accident_repaired,silver,4,622.3
Tiba,2010,,1.5,petrol,automatic,intact,silver,2,158.8
Quik,2016,183000.0,1.5,petrol,AUTOMATIC,minor_paint,silver,4,228.3
Samand,2013,258800.0,1.8,petrol,manual,major_paint,white,3,191.3
Rana,2012,200200.0,1.6,petrol_lpg,manual,minor_paint,grey,5,229.2
Rana,2023,48700.0,1.6,petrol,automatic,,silver,2,585.7
Rana,2015,214700.0,1.6,petrol_lpg,manual,minor_paint,red,3,255.2
Toyota Corolla,2014,250900.0,1.8,petrol_lpg,MANUAL,intact,blue,5,1343.6
Quik,2019,151500.0,1.5,petrol,manual,major_paint,white,1,279.3
Samand,2012,,1.8,petrol_lpg,manual,major_paint,white,1,182.3
Pride,2021,105000.0,1.3,petrol_lpg,automatic,minor_paint,black,3,226.8
Kia Cerato,2017,171300.0,2.0,petrol,manual,minor_paint,white,4,1579.3
Hyundai Accent,2010,335200.0,1.6,petrol_lpg,manual,intact,grey,4,761.0
Peugeot 206,2018,164600.0,1.4,petrol,manual,intact,white,2,392.2
Shahin,2018,200600.0,1.5,petrol,manual,,white,1,534.4
Kia Cerato,2007,345300.0,2.0,petrol_lpg,automatic,minor_paint,black,3,799.7
Peugeot Pars,2019,105700.0,1.8,petrol,automatic,minor_paint,blue,1,449.3
Hyundai Accent,2006,412300.0,1.6,petrol,manual,major_paint, blue ,5,474.7
Dena,2008,313400.0,1.7,petrol,automatic,intact,silver,4,322.8
Kia Cerato,2015,179700.0,2.0,petrol,manual,minor_paint,red,4,1178.0
Quik,2016,193400.0,1.5,petrol,manual,intact,white,3,220.9
Tiba,2012,254800.0,1.5,petrol,automatic,intact,white,3,177.7
Rana,2020,,1.6,petrol_lpg,automatic,intact,blue,2,526.0
Toyota Corolla,2009,316100.0,1.8,petrol,automatic,intact,white,3,1436.4
Dena,2022,81900.0,1.7,petrol,manual,accident_repaired,red,5,408.2
Dena,2013,234100.0,1.7,petrol_lpg,manual,intact,silver,2,406.8
Shahin,2010,338900.0,1.5,petrol,automatic,minor_paint,red,1,343.1
Shahin,2024,23700.0,1.5,petrol,automatic,intact,white,4,1020.7
Pride,2011,,1.3,petrol_lpg,manual,minor_paint,blue,3,96.0
Pride,2016,216600.0,1.3,petrol,manual,intact,white,1,143.1
Tiba,2024,,1.5,petrol,manual,accident_repaired,red,3,259.6
Rana,2024,,1.6,petrol,automatic,major_paint,red,5,524.3
Peugeot Pars,2013,232500.0,1.8,petrol,manual,minor_paint,black,2,288.2
Hyundai Accent,2009,308100.0,1.6,petrol,manual,intact,silver,5,802.4
Tiba,2006,409400.0,1.5,petrol_lpg,automatic,major_paint,black,5,63.7
Peugeot 206,2023,51200.0,1.4,petrol,manual,intact,blue,1,619.5
Peugeot 206,2024,31900.0,1.4,petrol,manual,minor_paint,silver,1,531.8
Tiba,2010,258100.0,1.5,petrol,manual,minor_paint,white,3,116.5
Rana,2011,264700.0,1.6,petrol,automatic,intact,silver,1,293.3
Peugeot Pars,2021,94300.0,1.8,petrol_lpg,manual,minor_paint,blue,4,402.5
Toyota Corolla,2008,302500.0,1.8,petrol,MANUAL,intact,black,1,1164.9
Toyota Corolla,2018,113400.0,1.8,petrol_lpg,MANUAL,accident_repaired,blue,3,1268.0
Hyundai Accent,2023,45400.0,1.6,petrol,manual,,white,5,2175.2
Tiba,2007,375000.0,1.5,petrol,automatic,,silver,4,94.8
Toyota Corolla,2014,198200.0,1.8,petrol_lpg,manual,accident_repaired,grey,2,1070.4
Shahin,2008,305000.0,1.5,petrol_lpg,manual,,grey,4,280.8
Dena,2021,70900.0,1.7,petrol,manual,major_paint,silver,2,544.1
Tiba,2009,287600.0,1.5,petrol_lpg,manual,minor_paint,black,5,105.2
Toyota Corolla,2008,,1.8,petrol,automatic,minor_paint,silver,2,1106.0
Dena,2024,12500.0,1.7,petrol,manual,intact,red,2,858.4
Tiba,2010,,1.5,petrol,automatic,minor_paint,silver,5,123.9
Hyundai Accent,2005,365800.0,1.6,petrol,automatic,minor_paint,white,2,745.4
Shahin,2021,95300.0,1.5,petrol,manual,minor_paint,blue,3,740.2
Rana,2023,69900.0,1.6,petrol,MANUAL,accident_repaired,white,1,462.4
Dena,2009,285600.0,1.7,petrol,manual,accident_repaired,grey,3,211.2
Samand,2007,332400.0,1.8,petrol,manual,intact,grey,2,170.8
Quik,2009,315200.0,1.5,petrol_lpg,manual,intact,white,2,157.4
Pride,2015,167200.0,1.3,petrol,manual,minor_paint,blue,2,119.6
Hyundai Accent,2011,245900.0,1.6,petrol,manual,intact,white,5,942.6
Toyota Corolla,2016,150800.0,1.8,petrol,automatic,accident_repaired,blue,1,1287.7
Shahin,2026,4100.0,1.5,petrol_lpg,automatic,intact,white,4,1183.5
Kia Cerato,2025,63700.0,2.0,petrol,manual,minor_paint,grey,1,1906.5
Samand,2013,,1.8,petrol_lpg,manual,intact,silver,4,239.1
Dena,2022,63000.0,1.7,petrol,manual,minor_paint,silver,5,650.8
Hyundai Accent,2011,257900.0,1.6,petrol_lpg,automatic,intact,white,1,1069.8
Toyota Corolla,2007,358500.0,1.8,petrol,manual,major_paint,silver,5,861.4
Quik,2023,81000.0,1.5,petrol,automatic,minor_paint,blue,5,362.0
Samand,2013,220200.0,1.8,petrol,AUTOMATIC,major_paint,white,5,202.2
Shahin,2025,13200.0,1.5,petrol,automatic,minor_paint,white,3,943.3
Tiba,2019,82300.0,1.5,petrol,manual,minor_paint,silver,5,203.6
Tiba,2022,60400.0,1.5,petrol,manual,intact,white,1,344.9
Peugeot 206,2012,261300.0,1.4,petrol,manual,accident_repaired,black,4,156.1
Peugeot 206,2011,288700.0,1.4,petrol_lpg,AUTOMATIC,intact,white,2,262.1
Hyundai Accent,2021,80900.0,1.6,petrol,automatic,intact,red,4,1582.6
Tiba,2020,121300.0,1.5,petrol,manual,intact,white,2,264.4
Rana,2018,157500.0,1.6,petrol,manual,minor_paint, white ,3,398.5
Samand,2016,222700.0,1.8,petrol,AUTOMATIC,intact,grey,2,314.9
Tiba,2010,307200.0,1.5,petrol,automatic,,white,2,117.7
Quik,2022,71500.0,1.5,petrol,manual,minor_paint,white,3,354.7
Samand,2010,308600.0,1.8,petrol,automatic,minor_paint,black,2,163.4
Hyundai Accent,2024,83400.0,1.6,petrol,automatic,minor_paint,black,1,2095.4
Kia Cerato,2019,105100.0,2.0,petrol,manual,intact,red,3,1508.4
Tiba,2011,255800.0,1.5,petrol,manual,intact,white,4,136.3
Tiba,2023,45000.0,1.5,petrol_lpg,manual,major_paint, blue ,4,259.1
Dena,2013,,1.7,petrol_lpg,manual,major_paint,silver,4,284.8
Quik,2018,142800.0,1.5,petrol,AUTOMATIC,intact,white,1,371.2
Pride,2010,321300.0,1.3,petrol,manual,intact,blue,2,88.1
Peugeot Pars,2018,156900.0,1.8,petrol,automatic,intact,red,2,465.4
Dena,2008,,1.7,petrol,manual,minor_paint,grey,4,230.8
Dena,2012,225400.0,1.7,petrol,manual,major_paint,grey,1,349.4
Hyundai Accent,2018,137400.0,1.6,petrol,automatic,intact,black,2,1689.5
Shahin,2005,357400.0,1.5,petrol,manual,accident_repaired,silver,3,154.8
Samand,2016,213100.0,1.8,petrol_lpg,manual,major_paint,blue,1,215.4
Tiba,2006,360300.0,1.5,petrol,automatic,accident_repaired, silver ,5,60.0
Hyundai Accent,2013,275400.0,1.6,petrol,manual,intact,white,4,1053.9
Peugeot Pars,2026,11000.0,1.8,petrol,manual,minor_paint,grey,4,683.7
Peugeot 206,2018,130600.0,1.4,petrol_lpg,manual,intact, blue ,1,433.7
Hyundai Accent,2022,50600.0,1.6,petrol,manual,intact,blue,2,1801.2
Dena,2015,179400.0,1.7,petrol,manual,accident_repaired,black,5,326.4
Rana,2023,,1.6,petrol_lpg,manual,minor_paint,silver,1,481.5
Rana,2018,,1.6,petrol,automatic,major_paint,black,2,358.4
Toyota Corolla,2008,321400.0,1.8,petrol,manual,minor_paint,grey,5,992.4
Quik,2024,7800.0,1.5,petrol,manual,major_paint,blue,4,330.6
Quik,2013,215900.0,1.5,petrol_lpg,manual,intact,black,1,202.5
Quik,2013,177300.0,1.5,petrol,automatic,intact,blue,5,221.8
Peugeot 206,2010,301800.0,1.4,petrol,MANUAL,intact,black,5,198.6
Quik,2018,120600.0,1.5,petrol,manual,intact,white,1,297.3
Samand,2007,316900.0,1.8,petrol,manual,intact,silver,4,155.2
Pride,2010,294900.0,1.3,petrol,automatic,,black,5,78.3
Pride,2007,331800.0,1.3,petrol,automatic,intact,white,3,85.8
Kia Cerato,2016,213800.0,2.0,petrol,manual,minor_paint,white,2,1615.2
Pride,2009,314400.0,1.3,petrol,manual,accident_repaired, red ,5,60.0
Peugeot 206,2010,,1.4,petrol,automatic,accident_repaired,blue,3,161.7
Peugeot Pars,2009,355900.0,1.8,petrol,automatic,intact,white,1,273.0
Shahin,2025,39600.0,1.5,petrol_lpg,manual,intact,silver,5,835.6
Peugeot Pars,2017,170000.0,1.8,petrol,automatic,minor_paint,white,1,471.9
Peugeot 206,2016,161200.0,1.4,petrol,manual,minor_paint,black,2,342.8
Dena,2012,239800.0,1.7,petrol,manual,minor_paint,red,4,295.3
Dena,2013,224200.0,1.7,petrol,manual,intact,white,2,447.7
Samand,2021,94500.0,1.8,petrol,manual,accident_repaired,white,2,339.1
Kia Cerato,2008,336300.0,2.0,petrol,automatic,minor_paint,black,5,806.8
Pride,2006,360700.0,1.3,petrol,manual,intact,silver,3,60.6
Quik,2017,145300.0,1.5,petrol_lpg,automatic,intact,red,1,289.3
Rana,2019,124900.0,1.6,petrol_lpg,manual,minor_paint,white,3,458.8
Shahin,2016,186000.0,1.5,petrol_lpg,manual,minor_paint,red,5,421.8
Peugeot Pars,2021,67600.0,1.8,petrol,manual,major_paint,silver,1,444.8
Hyundai Accent,2013,253700.0,1.6,petrol,manual,intact,white,2,1150.8
Samand,2011,293500.0,1.8,petrol,automatic,intact,white,4,238.3
Quik,2022,75900.0,1.5,petrol,automatic,intact,blue,2,408.1
Tiba,2026,,1.5,petrol_lpg,manual,minor_paint,red,1,366.0
Peugeot Pars,2006,345500.0,1.8,petrol,manual,,silver,2,156.8
Dena,2019,143600.0,1.7,petrol,manual,minor_paint,black,5,479.8
Peugeot 206,2013,275100000.0,1.4,petrol,MANUAL,intact,white,3,260.1
Samand,2010,302600.0,1.8,petrol,MANUAL,accident_repaired,white,2,145.5
Hyundai Accent,2006,389300.0,1.6,petrol_lpg,manual,minor_paint,black,2,630.4
Peugeot 206,2012,299500.0,1.4,petrol_lpg,automatic,accident_repaired,white,5,183.1
Hyundai Accent,2012,,1.6,petrol,automatic,minor_paint,red,5,1040.7
Dena,2011,288900.0,1.7,petrol,manual,,white,2,353.5
Tiba,2007,303700.0,1.5,petrol,manual,intact,blue,5,98.1
Quik,2012,256200.0,1.5,petrol,automatic,intact, black ,3,230.6
Kia Cerato,2006,402500.0,2.0,petrol_lpg,automatic,,black,2,793.9
Dena,2005,377900.0,1.7,petrol,manual,major_paint,white,1,207.2
Shahin,2018,134200.0,1.5,petrol,automatic,intact,white,3,692.3
Peugeot Pars,2005,420200.0,1.8,petrol,manual,minor_paint,white,4,153.7
Peugeot 206,2006,360800.0,1.4,petrol,manual,major_paint,blue,4,120.5
Peugeot 206,2016,202400.0,1.4,petrol,manual,intact,black,5,328.1
Dena,2013,225900.0,1.7,petrol,manual,minor_paint, silver ,2,371.6
Kia Cerato,2020,66200.0,2.0,petrol,manual,minor_paint,blue,3,1733.9
Tiba,2023,90400.0,1.5,petrol,manual,intact,blue,5,287.0
Hyundai Accent,2010,306100.0,1.6,petrol,automatic,intact,blue,1,909.2
Tiba,2008,251200.0,1.5,petrol,manual,major_paint,black,3,77.6
Kia Cerato,2012,246000.0,2.0,petrol_lpg,manual,major_paint,blue,5,824.6
Toyota Corolla,2019,157300.0,1.8,petrol_lpg,automatic,,silver,1,1826.4
Rana,2023,38800000.0,1.6,petrol,manual,intact,white,1,575.3
Pride,2011,268700.0,1.3,petrol,manual,minor_paint,silver,1,87.3
Quik,2016,,1.5,petrol,automatic,major_paint,white,4,197.2
Toyota Corolla,2018,167400.0,1.8,petrol,automatic,intact,black,1,2241.7
Hyundai Accent,2009,330600.0,1.6,petrol_lpg,manual,intact,red,3,688.6
Quik,2021,103700.0,1.5,petrol,automatic,intact,red,1,396.3
Toyota Corolla,2007,339800.0,1.8,petrol,manual,major_paint,silver,2,890.2
Kia Cerato,2020,132000.0,2.0,petrol,manual,accident_repaired,red,5,1005.6
Dena,2010,282200.0,1.7,petrol,manual,intact,silver,3,296.3
Dena,2023,40300.0,1.7,petrol,manual,intact,black,5,783.6
Shahin,2026,21600.0,1.5,petrol,manual,intact,white,5,923.6
Peugeot Pars,2015,194700.0,1.8,petrol,manual,minor_paint,white,1,349.5
Peugeot Pars,2019,139300.0,1.8,petrol_lpg,automatic,major_paint,white,1,444.2
Tiba,2018,116100.0,1.5,petrol,manual,minor_paint, grey ,5,204.9
Kia Cerato,2015,213700.0,2.0,petrol_lpg,automatic,intact,white,5,1585.3
Peugeot Pars,2006,335100.0,1.8,petrol,manual,intact,white,2,206.6
Quik,2010,283000.0,1.5,petrol,automatic,accident_repaired, white ,5,112.8
Tiba,2019,120500.0,1.5,petrol_lpg,manual,intact,red,4,188.8
Shahin,2007,325200.0,1.5,petrol,manual,intact,black,3,292.4
Tiba,2023,71700.0,1.5,petrol,manual,intact,white,5,325.2
Shahin,2007,317000.0,1.5,petrol,automatic,,white,3,285.7
Toyota Corolla,2014,210400.0,1.8,petrol,manual,minor_paint,silver,5,1260.8
Rana,2011,300700.0,1.6,petrol,manual,accident_repaired,white,2,187.9
Hyundai Accent,2021,140900.0,1.6,petrol,manual,intact,silver,3,1678.7
Pride,2025,26400.0,1.3,petrol,automatic,minor_paint,white,2,261.3
Tiba,2009,274000.0,1.5,petrol_lpg,MANUAL,intact,grey,5,109.2
Quik,2010,295600.0,1.5,petrol_lpg,manual,intact,white,4,147.6
Peugeot 206,2015,208400.0,1.4,petrol,manual,intact,black,2,321.6
Hyundai Accent,2026,28200.0,1.6,petrol,automatic,intact,black,4,2471.6
Dena,2021,102100.0,1.7,petrol_lpg,manual,minor_paint,black,1,667.1
Hyundai Accent,2017,210700.0,1.6,petrol,manual,minor_paint,grey,2,1305.2
Hyundai Accent,2015,200700.0,1.6,petrol,manual,intact,grey,3,1043.7
Samand,2008,359400.0,1.8,petrol,automatic,intact,silver,3,182.1
Shahin,2015,265200.0,1.5,petrol,automatic,,grey,1,510.0
Toyota Corolla,2005,,1.8,petrol,manual,intact,red,3,1027.1
Peugeot Pars,2026,41100.0,1.8,petrol,MANUAL,intact,white,4,748.1
Rana,2013,271600.0,1.6,petrol_lpg,manual,major_paint,red,1,218.5
Dena,2023,85900.0,1.7,petrol,AUTOMATIC,,grey,5,762.8
Hyundai Accent,2011,,1.6,petrol_lpg,automatic,major_paint,black,4,834.9
Dena,2008,341700.0,1.7,petrol,manual,accident_repaired,silver,5,157.2
Samand,2006,360800.0,1.8,petrol,manual,accident_repaired,blue,5,84.1
Peugeot 206,2022,101000.0,1.4,petrol_lpg,manual,intact, white ,3,466.8
Peugeot Pars,2017,,1.8,petrol,manual,intact,silver,3,413.8
Tiba,2016,202500.0,1.5,petrol,manual,intact,silver,3,168.9
Rana,2016,182700.0,1.6,petrol,manual,major_paint,blue,5,267.8
Quik,2019,172900.0,1.5,petrol,AUTOMATIC,intact,black,5,334.7
Peugeot Pars,2010,311000.0,1.8,petrol,MANUAL,accident_repaired,red,2,165.0
Peugeot 206,2026,30400.0,1.4,petrol,manual,minor_paint,blue,5,599.9
Dena,2021,111200.0,1.7,petrol,MANUAL,minor_paint,black,3,607.9
Quik,2023,60500.0,1.5,petrol,AUTOMATIC,intact,black,3,393.1
Peugeot Pars,2018,,1.8,petrol,manual,intact,blue,2,409.9
Toyota Corolla,2009,279300.0,1.8,petrol,manual,minor_paint, red ,5,1046.4
Peugeot Pars,2025,0.0,1.8,petrol,manual,minor_paint, red ,1,637.7
Rana,2016,182400.0,1.6,petrol,automatic,intact,white,1,426.1
Samand,2013,,1.8,petrol,manual,minor_paint,black,2,207.4
Kia Cerato,2014,239900.0,2.0,petrol,manual,intact,black,4,1244.2
Dena,2006,352900.0,1.7,petrol,manual,intact,silver,3,213.0
Quik,2016,180500.0,1.5,petrol_lpg,manual,intact,white,5,241.4
Tiba,2015,249300.0,1.5,petrol_lpg,manual,intact,red,1,184.4
Rana,2009,289700.0,1.6,petrol,manual,intact,white,1,264.7
Dena,2007,376200.0,1.7,petrol,AUTOMATIC,intact,white,4,298.8
Toyota Corolla,2011,285500.0,1.8,petrol,manual,intact,grey,4,1298.4
Peugeot 206,2021,68700.0,1.4,petrol,manual,intact,red,1,505.0
Toyota Corolla,2026,0.0,1.8,petrol,manual,major_paint,blue,1,2576.5
Shahin,2007,354100.0,1.5,petrol,AUTOMATIC,accident_repaired,silver,2,195.4
Rana,2019,130000.0,1.6,petrol,manual,minor_paint,red,5,354.5
